ast_ID,vals,ra,dec
13E,5,"23.722878, 23.485915, 23.485915, 23.167072, 23.167072, 23.116739000000006, 23.116739000000006, 22.986615, 22.986615, 22.873353","10.331536, 12.760554, 12.760554, 9.822082, 9.822082, 9.409492, 9.409492, 11.728844, 11.728844, 9.835664"
13F,1,"22.778216, 22.691033","12.172888, 10.831364"
13G,13,"23.977883, 0.032672, 0.032672, 0.088928, 0.088928, 0.030402, 0.030402, 23.977883, 23.977883, 23.238711, 23.238711, 22.87691, 22.87691, 22.510782, 22.510782, 22.107286, 22.107286, 21.784011, 21.784011, 21.668181, 21.668181, 21.618008, 21.618008, 21.710973000000006, 21.710973000000006, 21.784011","-3.5559830000000003, -6.0140720000000005, -6.0140720000000005, -5.707618, -5.707618, -3.027504, -3.027504, -3.5559830000000003, -3.5559830000000003, -6.049003, -6.049003, -7.579599000000001, -7.579599000000001, -10.67795, -10.67795, -13.869679, -13.869679, -16.127285999999998, -16.127285999999998, -16.662308, -16.662308, -19.466011, -19.466011, -18.866323, -18.866323, -16.127285999999998"
13H,2,"23.549512, 23.466858, 23.466858, 23.313733","-37.818268, -35.54448499999999, -35.54448499999999, -32.532027"
13I,1,"22.960838, 22.960838","-29.622236, -29.622236"
13J,1,"22.52509, 22.52509","-32.346073, -32.346073"
13K,21,"23.500536, 23.784284, 23.784284, 23.906398, 23.906398, 23.783866, 23.783866, 23.278405, 23.278405, 23.119459, 23.119459, 22.986209, 22.986209, 22.836137, 22.836137, 22.521515, 22.521515, 22.940555, 22.940555, 23.069702, 23.069702, 23.20916, 23.20916, 23.295732, 23.295732, 23.324945, 23.324945, 23.626056, 23.626056, 23.673469, 23.673469, 23.63561, 22.521515, 22.622899, 22.521515, 22.392675, 22.521515, 22.186069, 22.521515, 22.408609, 22.521515, 22.492173","58.54892, 58.651989, 58.651989, 57.499382, 57.499382, 57.451359, 57.451359, 53.213476, 53.213476, 52.816601, 52.816601, 52.65453, 52.65453, 50.676917, 50.676917, 50.282491, 50.282491, 49.733544, 49.733544, 50.052091, 50.052091, 49.406207, 49.406207, 49.0153, 49.0153, 48.625322, 48.625322, 46.458152, 46.458152, 44.333932, 44.333932, 43.268073, 50.282491, 51.545123, 50.282491, 52.229046, 50.282491, 50.823393, 50.282491, 49.476392, 50.282491, 47.706887"
13L,8,"0.7491869999999999, 0.736683, 0.736683, 0.474027, 0.474027, 0.02823, 0.02823, 0.195552, 1.075717, 0.56217, 0.56217, 0.474027, 0.474027, 0.4380560000000001, 0.4380560000000001, 0.19891","-42.676558, -38.421686, -38.421686, -39.915002, -39.915002, -40.148702, -40.148702, -35.133119, -33.532845, -35.002078000000004, -35.002078000000004, -39.915002, -39.915002, -42.305981, -42.305981, -42.172144"
13M,2,"0.241008, 0.323799, 0.323799, 0.075033","-7.780532000000001, -8.823921, -8.823921, -10.509523"
13N,2,"23.837425, 23.787754, 23.787754, 23.842579","-9.974136, -11.911126, -11.911126, -14.40149"
13O,2,"23.707729, 23.712039, 23.712039, 23.663074","-15.448033, -14.544904999999998, -14.544904999999998, -14.222178"
13P,2,"23.855927, 23.766922, 23.766922, 23.696057","-18.909163, -18.67834, -18.67834, -17.816533"
13Q,2,"23.554618, 23.434108, 23.434108, 23.382842","-20.914504, -20.642014, -20.642014, -20.10058"
13R,2,"23.298393, 23.280817000000006, 23.280817000000006, 23.264859","-9.182513, -7.7265039999999985, -7.7265039999999985, -9.087737"
13S,2,"23.086904, 22.910837, 22.910837, 22.901568","-17.07925, -15.82082, -15.82082, -19.175149"
13T,2,"22.993243, 22.891307, 22.891307, 22.826528","-13.070895, -11.616514, -11.616514, -13.592632"
13U,2,"22.726454, 22.792535, 22.792535, 22.57823","-18.830375, -19.613375, -19.613375, -20.708216"
13V,2,"22.593437, 22.514936, 22.514936, 22.677594","-23.991094, -26.073752, -26.073752, -27.043617"
13W,2,"22.59689, 22.504819, 22.504819, 22.442853","-17.460424, -14.585734, -14.585734, -16.742138"
13X,2,"21.836939, 22.036625, 22.036625, 21.861595","-16.844914000000006, -17.903474, -17.903474, -18.62294"
13Y,2,"22.207155, 22.280012, 22.280012, 22.407517","-14.193957, -12.831436, -12.831436, -13.529369"
13Z,2,"23.627655, 23.318518, 23.318518, 23.468109","-13.060243, -13.458552, -13.458552, -11.449752"
14A,1,"0.220598, 0.139791","15.183596, 29.090432"
14B,4,"23.988525, 23.665844, 23.665844, 23.466138, 23.466138, 23.286094, 23.286094, 23.064615","6.863321000000001, 5.6262919999999985, 5.6262919999999985, 6.378992, 6.378992, 3.282289, 3.282289, 3.820045"
14C,3,"23.912951, 23.700779, 23.700779, 23.448876, 23.448876, 23.569171","0.109309, 1.780041, 1.780041, 1.255608, 1.255608, -1.247567"
14D,10,"0.7010810000000001, 0.74542, 0.74542, 0.7406119999999999, 0.7406119999999999, 0.7244659999999999, 0.7244659999999999, 0.612903, 0.612903, 0.470454, 0.470454, 0.172012, 0.172012, 0.199741, 0.199741, 0.295295, 0.295295, 0.404348, 0.404348, 0.7010810000000001","50.512526, 48.284364, 48.284364, 47.863984, 47.863984, 47.024546, 47.024546, 44.488587, 44.488587, 44.394452, 44.394452, 46.072272, 46.072272, 48.152396, 48.152396, 51.43309, 51.43309, 52.019914, 52.019914, 50.512526"
14E,4,"1.391933, 0.976766, 0.976766, 1.040674, 0.976766, 0.561401, 0.561401, 0.4654720000000001","-30.945617, -29.357449, -29.357449, -31.552005, -29.357449, -29.558278, -29.558278, -33.007166999999995"
14F,1,"0.304791, 0.167278","11.206214, 11.145813"
15A,16,"0.830234, 0.945885, 0.945885, 1.162194, 1.162194, 1.271922, 1.271922, 1.1852129999999998, 1.1852129999999998, 1.194342, 1.194342, 1.324443, 1.324443, 1.229152, 1.229152, 1.190894, 1.190894, 0.953445, 0.953445, 0.788981, 0.788981, 0.642602, 0.642602, 0.655462, 0.655462, 0.61468, 0.61468, 0.6225609999999999, 0.6225609999999999, 0.68533, 0.68533, 0.830234","41.078911, 38.499345, 38.499345, 35.620558, 35.620558, 33.11472, 33.11472, 31.424736, 31.424736, 30.089638, 30.089638, 27.264059000000003, 27.264059000000003, 24.583713, 24.583713, 21.03465, 21.03465, 23.417648, 23.417648, 24.267178, 24.267178, 29.311751, 29.311751, 30.861024, 30.861024, 33.719344, 33.719344, 35.399501, 35.399501, 39.458664, 39.458664, 41.078911"
15B,6,"2.034117, 1.892597, 1.892597, 1.6905259999999998, 1.6905259999999998, 1.503087, 1.503087, 1.228857, 1.228857, 1.049058, 1.049058, 0.811373","2.763759, 3.187536, 3.187536, 5.487613, 5.487613, 6.14382, 6.14382, 7.575353999999999, 7.575353999999999, 7.890135000000001, 7.890135000000001, 7.585078999999999"
