num_pairs,star,name,ra,dec,culture,color
7,39757,Puppis,8.125736999999999,-24.304323999999998,western,#5bc4c7
7,6686,Way Paat Ahiin,1.430216,60.235282999999995,maya,#caaba9
7,68895,Xoc,14.106193,-26.682361,maya,#caaba9
7,17702,Can Hd/Gleska Wakan,3.79141,24.105137,dakota,#303258
7,67301,To/Tun Win,13.792354000000001,49.313265,dakota,#303258
7,86032,Ophiuchus,17.582241,12.560035000000001,western,#5bc4c7
7,67301,Los',13.792354000000001,49.313265,siberian,#7c7773
7,746,Epinnu,0.152887,59.14978000000001,mulapin,#f38b88
7,67301,Doloon Burkhan,13.792354000000001,49.313265,mongolian,#67422f
7,746,Epinnu,0.152887,59.14978000000001,seleucid,#fdd190
7,39953,Mashkakatu,8.158876,-47.336588,seleucid,#fdd190
7,101916,Pagru,20.652161,10.086203,seleucid,#fdd190
7,67301,Bull's Foreleg,13.792354000000001,49.313265,egyptian,#91b6a8
7,93194,Enzu,18.982395,32.689557,seleucid,#fdd190
7,45860,Lynx,9.350925,34.392562,western,#5bc4c7
7,17847,Dilyehe,3.819373,24.053415,navajo,#6c7363
7,101916,Pagru,20.652161,10.086203,mulapin,#f38b88
7,93194,Enzu,18.982395,32.689557,mulapin,#f38b88
7,25930,Sioyahpu,5.5334449999999995,-0.299092,tukano,#ae7b3a
7,88714,Ara,18.11052,-50.09147700000001,western,#5bc4c7
7,37504,Volans,7.697004,-72.606098,western,#5bc4c7
7,17851,Flock,3.819782,24.136712,egyptian,#91b6a8
7,17851,Kṛittikā,3.819782,24.136712,indian,#d56a88
7,9505,DaeReung,2.038359,54.487541,korean,#2f8cae
7,51849,CheonGu,10.59314,-57.557635999999995,korean,#2f8cae
7,45336,Ryu,9.239405,2.31428,korean,#2f8cae
7,112961,NuByeokJin,22.876910000000002,-7.579599000000001,korean,#2f8cae
7,52085,Jaang,10.643042999999999,-16.876572,korean,#2f8cae
7,107235,GeoBuu,21.718465,41.15497,korean,#2f8cae
7,107418,Guu,21.757479999999997,61.12080600000001,korean,#2f8cae
7,23166,GuuYuu,4.983713,-16.376027,korean,#2f8cae
7,109786,CheonJeon,22.23834200000001,-21.074566,korean,#2f8cae
7,17851,Sakiattiak,3.819782,24.136712,inuit,#b5a63f
7,67301,Tukturjuit,13.792354000000001,49.313265,inuit,#b5a63f
7,29696,JwaGii,6.256304,29.498076,korean,#2f8cae
7,67301,Sos Sette Frades,13.792354000000001,49.313265,sardinian,#d3bc93
7,17851,S'Udrone,3.819782,24.136712,sardinian,#d3bc93
7,67301,Na Hiku,13.792354000000001,49.313265,hawaiian_starlines,#1e8871
7,37826,Fratii,7.755277,28.026199,romanian,#972549
7,76127,Hora,15.548829000000001,31.359133,romanian,#972549
7,11767,Carul mic,2.52975,89.26410899999998,romanian,#972549
7,67301,Anorhâkoya,13.792354000000001,49.313265,lokono,#f6b8bb
7,6686,La Flecha (Jorge Trujillo),1.430216,60.235282999999995,northern_andes,#c3cf00
7,67301,Man's Cart,13.792354000000001,49.313265,norse,#f4d2b7
7,11767,Woman's Cart,2.52975,89.26410899999998,norse,#f4d2b7
7,67301,арамии,13.792354000000001,49.313265,macedonian,#bdb6a9
7,11767,Ursa Minor,2.52975,89.26410899999998,western,#5bc4c7
7,78820,Al-Ikleel,16.09062,-19.805453,arabic_moon_stations,#7d963a
7,113881,Shil,23.062901,28.082789000000002,korean,#2f8cae
7,67301,Illyouo voz,13.792354000000001,49.313265,belarusian,#a9bbca
7,17847,Tianquiztli,3.819373,24.053415,aztec,#315c93
7,27989,Kreselca Pana Jezusa,5.919529,7.407063000000001,belarusian,#a9bbca
7,17847,Kurki,3.819373,24.053415,belarusian,#a9bbca
7,61359,轸宿,12.573121,-23.396759,chinese_medieval,#e36856
7,12692,大陵,2.717451,55.106018999999996,chinese_medieval,#e36856
7,42799,柳宿,8.720410000000001,3.3986620000000003,chinese_medieval,#e36856
7,11767,Ad-Dubb Al-A'sghar,2.52975,89.26410899999998,arabic,#7d963a
7,4427,王良,0.9451430000000001,60.71674,chinese_medieval,#e36856
7,46390,星宿,9.45979,-8.658603,chinese_medieval,#e36856
7,88714,Al-Mijmarah,18.11052,-50.09147700000001,arabic,#7d963a
7,86032,Al-Hawwa',17.582241,12.560035000000001,arabic,#7d963a
7,111944,车府,22.675233,44.276305,chinese_medieval,#e36856
7,75458,紫微左垣,15.415494,58.966065,chinese_medieval,#e36856
7,61468,青丘,12.595987,-41.021945,chinese_medieval,#e36856
7,4147,天溷,0.8834709999999999,-1.14426,chinese_medieval,#e36856
7,50785,Collowgulloric War,10.369569,-58.265572,boorong,#7eb9cb
7,11767,Maly Vos,2.52975,89.26410899999998,belarusian,#a9bbca
7,92953,Won,18.938044,-42.710676,boorong,#7eb9cb
6,32349,Dulaul,6.7524809999999995,-16.716116,romanian,#972549
6,8832,Berbecul,1.8921700000000001,19.293851999999998,romanian,#972549
6,76127,Al-I'klil Ash-Shamali,15.548829000000001,31.359133,arabic,#7d963a
6,109492,Al-Multaheb,22.180908,58.201260999999995,arabic,#7d963a
6,17489,昴宿,3.7467260000000002,24.28947,chinese_medieval,#e36856
6,28380,Auriga,5.995351,37.212585,western,#5bc4c7
6,113368,Piscis Austrinus,22.960838,-29.622235999999997,western,#5bc4c7
6,109937,Lacerta,22.26616,37.748737,western,#5bc4c7
6,61174,Corvus,12.534510000000001,-16.196007,western,#5bc4c7
